Time in Microseconds,C
40864,71011.2
35902,55407.3
36189,54488.3
38607,51845.8
100730,11466.9
40888,48669.3
73803,17876.3
29921,77420.2
78370,13028.3
44880,44399.3
31625,72841.6
47871,50820.1
59814,33290.7
46875,70561.3
47870,63264.6
47009,84582.9
63197,27650.5
45983,62819.1
45876,96195.4
49885,46112.5
46283,82024.2
49443,33480.2
60717,27411.8
56879,29938.1
39892,81515.8
39033,57644.9
47449,58870.2
80977,17671.2
39637,62170.5
70810,22397.2
55027,28352.8
30917,81088.9
30916,76882
96182,10975.2
37007,64568.1
28921,83616.1
29933,82172.7
150394,227.392
107368,8081.87
100913,9677.73
56848,29577.2
64789,24055.9
77544,14826.6
56846,54070.9
64828,18049.6
39861,63617.1
39892,69871.8
58142,27586.7
120071,3400.56
46877,43234.9
50265,36403.5
144967,709.783
82729,14724.5
41582,87113.4
62464,25277.4
38333,92362.5
45332,52495.7
138080,1217.05
41991,64437.9
96912,12848.2
38863,95046
92751,14645.7
51831,42975.4
50005,48320.2
42104,73575
42672,90245.6
71776,23138.5
51131,43630.5
40865,93056.9
43847,67021.6
73802,21969
51725,39457.7
73800,14459.6
105682,9386.48
44879,70590.4
59234,22750.7
48585,47664.6
35903,97697.5
52857,42544.4
48375,76584.2
60838,37334.2
68814,20754.6
55849,41773.6
38879,91437.5
95081,8100.08
95701,9966.28
39417,92483.3
57526,57324.9
60068,32875.1
54852,46771.9
61923,33323.8
72805,15451.5
109706,6231.99
37894,74534.7
47339,56588.3
48868,41983.4
36881,74308.9
36783,92540.9
126332,4810.28
37898,79317.4
46491,50925.3
54415,37555.9
45875,71074.2
126080,3332.22
79774,13883.4
42002,71802.4
42884,84971.4
43882,78908.5
45847,68236.7
46794,45946.5
45844,81943.1
65787,24362
38232,95446.2
40889,84076.8
38945,89508.3
59201,34308
102900,10075.7
81453,13938
44012,64442.2
60948,26895.8
71807,34708.7
58890,32482.9
41348,87249.7
45545,53523.6
140623,2018.28
49743,40530.5
36899,96934.2
43879,63063.8
51861,34904.9
40622,91838.7
123334,3877.29
59100,27746.9
59841,24828.4
40903,63993.8
110224,7647.28
76401,16593.4
119677,4533.77
44880,88254.2
49022,44794
48869,46527.1
47871,42445
54836,46072.5
43792,60545.8
43201,72479
68008,24467.4
71672,19177.6
58866,41519.5
72315,19280
37075,81638.8
60749,37999.8
65823,27214
35903,87142.5
34902,93574.3
39061,64724.9
50137,47266.8
34727,95369.4
75798,17413.2
40596,68564.5
40889,62401.9
50985,41068.4
62210,27707.6
45944,97802
41002,78487.9
60757,35785.2
43376,58161.7
43852,92948.7
55849,42832.5
46844,52142.7
64825,29153.1
44878,67021.8
40595,95451
43849,42519.4
61073,26822.5
31907,94874.6
50314,37531.4
38415,62656.9
57844,31770.7
34906,69498.4
142618,2736.51
36054,55396.4
70807,16807.2
49866,55550.5
54030,45960.1
43880,66712.3
44867,91181.3
55364,33172
44864,82394.2
43881,79619.2
40889,96944.5
72803,19707
44880,79696.5
69812,21889.2
47833,65335.2
66468,26732.7
50863,52255.8
50863,50870
44878,84350.8
43882,75345.8
52214,53749.6
71872,20817
132548,3471.4
42882,70635.1
84514,12478
46351,82622.7
53244,43044.7
64827,51859.4
47828,64934.6
60727,38215
46000,79871.5
44754,79229.5
45878,75765.6
34618,76551.1
131648,3420.02
56846,33107.4
48868,50218.7
61802,28580.8
41341,61399
48318,42520.9
40545,63694.1
35679,96098.2
96325,11539.4
35132,92948.5
34666,95444.9
54853,38411.9
49247,44433.3
51861,41518.2
35903,81251.8
34875,95995.2
34905,75133.1
45987,48231.1
53856,46612
84961,17943.5
42178,50021.3
124096,5132.41
42564,79368.7
40886,84828.7
66780,26544.5
42658,53290.7
40891,95687.9
40103,96312
42157,51760
126629,5631.29
52360,41306.9
53968,34485.2
39890,88267.2
49840,48045.3
54716,31561.2
63798,20327.2
44982,57681.9
57966,28567.4
63054,36825.9
78911,21600.3
43811,89942.5
62782,35463.3
47252,82907.5
66380,33861.6
54852,56607.2
162119,1467.83
62596,35970
165654,1983.79
44204,92201.4
36331,76145.6
50863,32520.7
47839,38528.2
51861,35215.5
90738,11791.2
35904,94016.6
101756,11695.2
65791,19221.1
48837,40933.1
49033,39340.9
54126,58462.6
57912,56628.7
70140,24614.4
81781,14828.1
74768,22573.8
154556,1477.63
57234,32155.9
44953,81241.6
81781,21499.2
51860,67708.5
136633,2802.52
60837,24179.3
69050,35145.5
48868,59508.7
48060,61318.2
50127,61018.8
87833,12012.5
46877,83014.1
81749,15917.9
60225,31621.2
39212,93792.9
44848,75818.5
113694,7844.02
74766,20574.9
62340,34301.3
43881,80992.9
38860,98238.6
46842,60896.3
89760,11591
63829,31722
47856,85563.6
46874,82940.9
75769,21450.5
67681,52260.9
76443,23945.4
86009,13952.4
45827,84886.9
87802,12527.1
173101,1205.95
58444,45271.8
50655,69018.1
50459,57236.7
76569,20717.3
68926,25325.1
45877,86910.2
106704,8779.79
49833,63990
43370,96811.7
44164,95797.6
63828,32925.3
52885,72621.8
52057,50497.3
92243,12428.6
79121,21672.6
40779,82304.4
186547,225.891
50626,56126.1
61834,38891.8
40091,98182.6
39860,96385.2
55367,45679.4
47838,68105.1
61969,38373.6
69171,27339.3
60838,41631.7
68784,31295.5
66702,35544.6
39892,96499.8
95865,11516.4
128655,7153.62
49866,76916.5
67243,30819.8
76164,27633.6
48186,86265.5
83960,21119
71805,28348.6
51626,61609.7
48869,85433.4
165555,2030.84
64825,34813.5
128912,4253.31
48841,58592.9
116687,8406.27
175529,1529.57
131584,3437.68
44878,69484.4
48359,62161.9
53828,46703.6
47566,71132.3
56823,44493.5
44256,62200.6
67080,26559.7
100053,9768.85
114982,7314.66
48839,56856.7
46847,61585.4
56496,32216.6
42883,81193.3
41339,83789.1
46842,73391.5
53086,63377.2
59841,41825.2
43820,83715.4
54818,53759.9
113696,6406.86
62252,39071
48870,74175.8
60967,48831.6
56816,54060.1
55849,53513.2
122515,7096.45
70261,26237.6
47770,70304.9
61800,28604.7
100700,11547.2
53780,55344.6
46469,73181.8
47390,77216.2
53383,58773.2
65016,27258.8
50462,64237.4
123595,6629.55
48895,79441.7
48869,91770.3
71777,16238.9
48446,87125.7
52858,56488.8
56876,49891.3
48980,83713.4
53856,71879.9
51861,72818.7
83774,21091.5
174737,994.499
49849,71004.2
51766,73541.5
69259,30128.3
58841,39252.8
53823,60237.1
50592,73538.8
112698,8370.28
82775,15855.4
60888,31194.2
46037,83550.9
88758,15929.6
46872,77720
47870,82723.9
52068,52512.8
58842,38858.7
46249,89111.6
46875,86394.4
45876,87751
50842,68272.7
101723,10244.9
47838,81394
56845,45519.6
95993,9676.22
59835,29698.2
43471,99609.9
50862,71595.9
133640,4097.19
57844,51263.2
104718,15765.6
72771,30552
97738,13298.3
121675,7021.3
46874,63625
43882,70359.4
64824,47376.2
49863,60943.1
43015,76780.9
49969,52791.2
92457,12886.9
79559,18755.2
47873,89592.1
64825,30164.3
78789,18853.5
47871,68925.1
61831,39351.7
63806,38373.8
77791,17982.7
94727,16223.1
68815,35335.7
69299,21911.2
56849,51598.9
50704,61691.9
44879,95438.5
49866,56301.2
68079,25486.9
68448,23666.9
46875,86210.2
54854,69400.7
54852,40847.1
78762,20789.7
47872,75121.7
47871,94332.4
46843,92935.2
70809,32011.9
48868,72108
48868,70591.5
47869,82178.5
53855,46002.1
49819,79905.7
50272,63618.1
94522,14095.7
49880,98367.8
49055,92072.3
49028,97703.8
51488,81094.4
73732,30714.4
71778,33008.1
47147,64020.3
47805,67679.3
45577,85113.9
55975,56747.4
47139,87284.6
60835,42470.8
45454,70186.5
45878,74454.9
43882,97061.3
43853,94015.7
143899,4078.75
73040,20971.2
61833,25472.2
45546,91647.8
44562,95327.5
49024,75352.2
47871,71330.8
76608,23450.7
61804,42818.5
60938,53673.3
42884,92188.9
109705,13124.1
76579,28890.7
66820,35706.9
56846,50345.6
55589,44586
103722,11435.8
78209,30463.8
42976,88083.7
55981,48026.8
59839,56618
72806,25999.4
52885,79976.4
59840,54259.6
56320,66713.7
57335,58684
65789,37624.2
58842,58384.2
72803,61920.5
60838,65887.7
46844,61652
59799,35720.4
39517,87005.5
40888,93344.6
44847,65711.9
42850,75864.1
42885,53569
56884,33662.9
59238,30500.2
39035,76572.4
50863,85436
50267,78524.6
57222,39266.9
55848,32574.4
59836,30560.4
63828,24110.7
78887,14069.8
60124,28754
46874,92610
49840,84411.4
57845,66929.6
71807,31303.3
111972,9737.63
66243,57927.6
189494,2110.11
51860,94387.8
64825,52926.6
70813,33356
47669,99560.9
167548,2648.01
40890,88430.1
51589,52665.9
126293,7642.41
40419,99615.2
145611,6264.53
67497,32719.3
41715,93811.7
54224,44524
52800,51538.5
67599,30927.8
48510,82682.4
67817,51075.9
65940,38211.8
48837,89580.5
108373,11006.1
119489,8155.13
66820,29210.9
58042,52575.5
62330,50937.4
109216,11157.1
61834,56976.6
57846,78998.5
60873,59887.8
61665,65397.9
58778,72725.7
