C,No of Lines
91838.7,26
3877.29,98
27746.9,44
24828.4,44
63993.8,26
7647.28,82
16593.4,54
4533.77,98
88254.2,22
44794.0,32
46527.1,32
42445.0,32
46072.5,36
60545.8,28
72479.0,28
24467.4,48
19177.6,52
41519.5,40
19280.0,52
81638.8,24
37999.8,40
27214.0,46
87142.5,22
93574.3,20
64724.9,24
47266.8,34
95369.4,20
17413.2,54
68564.5,24
62401.9,24
41068.4,34
27707.6,44
97802.0,26
78487.9,26
35785.2,42
58161.7,28
92948.7,26
42832.5,38
52142.7,30
29153.1,46
67021.8,28
95451.0,26
42519.4,28
26822.5,42
94874.6,18
37531.4,34
62656.9,22
31770.7,34
69498.4,20
2736.51,108
55396.4,22
16807.2,50
55550.5,32
45960.1,36
66712.3,28
91181.3,26
33172.0,38
82394.2,28
79619.2,28
96944.5,26
19707.0,52
79696.5,28
21889.2,50
65335.2,30
26732.7,46
52255.8,34
50870.0,34
84350.8,28
75345.8,28
53749.6,34
20817.0,50
3471.4,104
70635.1,28
12478.0,62
82622.7,28
43044.7,36
51859.4,34
64934.6,30
38215.0,40
79871.5,28
79229.5,28
75765.6,28
76551.1,20
3420.02,102
33107.4,40
50218.7,32
28580.8,42
61399.0,24
42520.9,32
63694.1,24
96098.2,20
11539.4,72
92948.5,20
95444.9,20
38411.9,36
44433.3,32
41518.2,32
81251.8,20
95995.2,20
75133.1,20
48231.1,28
46612.0,30
17943.5,60
50021.3,26
5132.41,98
79368.7,26
84828.7,26
26544.5,48
53290.7,26
95687.9,24
96312.0,24
51760.0,26
5631.29,96
41306.9,34
34485.2,34
88267.2,24
48045.3,32
31561.2,36
20327.2,44
57681.9,28
28567.4,38
36825.9,34
21600.3,52
89942.5,26
35463.3,42
82907.5,28
33861.6,42
56607.2,36
1467.83,128
35970.0,40
1983.79,124
92201.4,26
76145.6,20
32520.7,32
38528.2,30
35215.5,32
11791.2,66
94016.6,20
11695.2,68
19221.1,46
40933.1,30
39340.9,30
58462.6,36
56628.7,36
24614.4,48
14828.1,58
22573.8,52
1477.63,124
32155.9,40
81241.6,28
21499.2,54
67708.5,32
2802.52,108
24179.3,42
35145.5,38
59508.7,30
61318.2,30
61018.8,30
12012.5,62
83014.1,28
15917.9,58
31621.2,38
93792.9,22
75818.5,26
7844.02,84
20574.9,50
34301.3,40
80992.9,26
98238.6,22
60896.3,28
11591.0,64
31722.0,40
85563.6,28
82940.9,28
21450.5,52
52260.9,34
23945.4,50
13952.4,60
84886.9,28
12527.1,62
1205.95,136
45271.8,38
69018.1,30
57236.7,30
20717.3,52
25325.1,46
86910.2,26
8779.79,76
63990.0,30
96811.7,26
