C,Lines,N
2.8552,40,95
7.64771,40,95
3.39024,40,95
2.16212,40,95
5.16952,60,96
3.26526,60,96
9.62526,60,96
7.08309,60,96
0.362992,60,96
6.29939,60,96
5.86211,60,96
1.47467,60,96
0.264674,60,96
4.86311,60,96
5.5896,54,97
1.82071,54,97
5.92068,54,97
4.55361,54,97
0.159512,54,97
8.37279,54,97
6.008,54,97
1.13961,54,97
6.22484,54,97
8.79716,54,97
3.80932,58,98
5.08698,58,98
4.38252,58,98
2.33074,58,98
8.30227,58,98
1.52046,58,98
6.68666,58,98
5.10585,58,98
8.27582,58,98
1.99853,58,98
4.47892,64,99
8.57254,64,99
4.44085,64,99
4.99026,64,99
6.82883,64,99
4.61458,64,99
6.19566,64,99
8.57003,64,99
9.94148,64,99
9.82176,64,99
7.13678,46,100
4.56663,46,100
9.91689,46,100
9.31668,46,100
2.29981,46,100
1.35515,46,100
8.90155,46,100
0.903903,46,100
7.41105,46,100
4.65808,46,100
6.88013,32,101
1.66911,32,101
5.35226,32,101
5.98001,32,101
8.89162,32,101
8.36927,32,101
0.949401,32,101
9.93941,32,101
0.1756,32,101
0.0664063,32,101
4.50713,22,102
4.39279,22,102
5.21472,22,102
7.06318,22,102
8.38896,22,102
3.04459,22,102
9.31423,22,102
5.80974,22,102
8.26181,22,102
2.77124,22,102
6.75127,40,103
8.09716,40,103
8.93346,40,103
9.5622,40,103
2.62223,40,103
4.31531,40,103
7.93396,40,103
0.461727,40,103
6.50233,40,103
5.99116,40,103
5.20925,80,104
1.80743,80,104
8.78631,80,104
4.525,80,104
8.79353,80,104
1.76943,80,104
2.023,80,104
8.25562,80,104
1.4425,80,104
6.57548,80,104
2.83381,38,105
8.6754,38,105
8.63486,38,105
8.69998,38,105
0.648982,38,105
8.55698,38,105
8.8971,38,105
0.213128,38,105
6.11712,38,105
5.22154,38,105
5.27929,46,106
8.07632,46,106
7.30912,46,106
2.12738,46,106
8.59585,46,106
5.95725,46,106
0.92772,46,106
7.96393,46,106
3.99796,46,106
2.1403,46,106
1.393,46,107
8.50984,46,107
5.13082,46,107
4.81136,46,107
0.657933,46,107
1.46428,46,107
9.94839,46,107
7.02944,46,107
2.80562,46,107
0.261557,46,107
2.67117,50,108
6.19518,50,108
4.68374,50,108
7.7817,50,108
2.57492,50,108
7.63556,50,108
5.58614,50,108
4.58515,50,108
0.847288,50,108
6.28783,50,108
0.449238,44,109
3.98534,44,109
7.48497,44,109
5.5445,44,109
5.51326,44,109
7.39375,44,109
4.3044,44,109
0.397614,44,109
5.04156,44,109
8.37039,44,109
5.10224,68,110
7.19877,68,110
4.92526,68,110
9.3929,68,110
9.33838,68,110
7.96275,68,110
5.98416,68,110
1.32919,68,110
1.46786,68,110
4.46237,68,110
3.08199,72,111
8.41381,72,111
1.62464,72,111
3.9669,72,111
2.33088,72,111
8.30658,72,111
1.65145,72,111
0.0820762,72,111
7.67706,72,111
3.82549,72,111
1.79111,48,112
3.74688,48,112
1.24011,48,112
4.99873,48,112
3.62131,48,112
